ticker,market_group,L_past,L_future,discovered_states,statistical_complexity,runtime_seconds,error
EWG,developed,2,4,3,0.01984607251293288,29.66472233400009,
EWG,developed,2,5,6,0.03156491479289595,28.750982625000233,
EWG,developed,2,6,7,0.029149595487478017,29.6244261249999,
EWG,developed,2,7,5,0.02757691449568184,28.201471667000078,
EWG,developed,2,8,4,0.027010151085915174,29.610321542000293,
EWG,developed,2,9,3,0.007580616315453906,28.70791162500018,
EWG,developed,2,10,6,0.03424702284052085,25.66151412499994,
EWG,developed,3,2,3,0.010780435072685071,26.96807620899972,
EWG,developed,3,3,3,0.007570941491880121,27.769534167000074,
EWG,developed,3,4,3,0.007572874374263213,26.47249970799976,
EWG,developed,3,5,4,0.011362034486240704,27.32225812500019,
EWG,developed,3,6,4,0.011364936829918165,26.45267429200021,
EWG,developed,3,7,3,0.010794117271251829,28.044456874999923,
EWG,developed,3,8,3,0.01079685811557481,28.107216166999933,
EWG,developed,3,9,3,0.010799600430914392,22.273165541000253,
EWG,developed,3,10,5,0.015168511122870341,23.087325165999573,
EWG,developed,4,2,3,0.01078316858000371,27.263509040999907,
EWG,developed,4,3,3,0.007572874374263213,26.783183999999892,
EWG,developed,4,4,4,0.011362034486240692,27.44579858299994,
EWG,developed,4,5,4,0.011364936829918165,26.221348874999876,
EWG,developed,4,6,3,0.00757867926669357,26.952391833000092,
EWG,developed,4,7,4,0.01137074620739723,26.432083333000264,
EWG,developed,4,8,4,0.011373653243773499,25.569121874999837,
EWG,developed,4,9,3,0.00758449354505187,21.667252959000052,
EWG,developed,4,10,3,0.007586433727610031,27.039898042000004,
EWG,developed,5,2,3,0.010785903552317292,26.137305790999562,
EWG,developed,5,3,3,0.007574808296955398,26.839185334000376,
EWG,developed,5,4,3,0.0075767432608135,25.508014541000193,
EWG,developed,5,5,3,0.007578679266693568,26.14034704200003,
EWG,developed,5,6,3,0.007580616315453904,25.475071166999896,
EWG,developed,5,7,3,0.007582554407953625,25.952396290999786,
EWG,developed,5,8,3,0.00758449354505187,22.42417549999982,
EWG,developed,5,9,3,0.00758643372761003,27.098594624999805,
EWG,developed,5,10,3,0.007588374956489686,25.897586874999888,
EWG,developed,6,2,3,0.010788639990827265,27.409824458999992,
EWG,developed,6,3,3,0.0075767432608135,25.831060167000032,
EWG,developed,6,4,3,0.007578679266693568,26.778570124999987,
EWG,developed,6,5,3,0.007580616315453904,26.184051499999896,
EWG,developed,6,6,3,0.007582554407953625,24.88094533399999,
EWG,developed,6,7,3,0.00758449354505187,23.833890207999957,
EWG,developed,6,8,3,0.00758643372761003,26.202894667000237,
EWG,developed,6,9,3,0.007588374956489686,26.0940877500002,
EWG,developed,6,10,3,0.007590317232553552,26.670955957999922,
EWG,developed,7,2,3,0.00757674326081334,24.927375582999957,
EWG,developed,7,3,3,0.007578679266693568,26.943189125000117,
EWG,developed,7,4,3,0.007580616315453904,25.166725583000243,
EWG,developed,7,5,3,0.007582554407953625,25.946325540999624,
EWG,developed,7,6,3,0.00758449354505187,24.394718334000117,
EWG,developed,7,7,3,0.00758643372761003,25.639670916999876,
EWG,developed,7,8,3,0.007588374956489686,24.291728375000275,
EWG,developed,7,9,3,0.007590317232553552,26.466383583999686,
EWG,developed,7,10,3,0.007592260556664526,25.008823957999994,
EWG,developed,8,2,3,0.00757867926669357,26.117390832999718,
EWG,developed,8,3,3,0.007580616315453904,25.55938558300022,
EWG,developed,8,4,3,0.007582554407953625,25.543600708000213,
EWG,developed,8,5,3,0.00758449354505187,23.927885375000187,
EWG,developed,8,6,3,0.00758643372761003,23.972747374999926,
EWG,developed,8,7,3,0.007588374956489686,24.936513540999385,
EWG,developed,8,8,3,0.007590317232553552,26.40131212499955,
EWG,developed,8,9,3,0.007592260556664526,24.22184362500002,
EWG,developed,8,10,3,0.007594204929688099,26.57730762500023,
EWG,developed,9,2,3,0.007580616315453906,26.499071124999773,
EWG,developed,9,3,3,0.007582554407953625,25.7635933749998,
EWG,developed,9,4,3,0.00758449354505187,23.951911124999242,
EWG,developed,9,5,3,0.00758643372761003,24.22653183300008,
EWG,developed,9,6,3,0.007588374956489686,23.475035082999966,
EWG,developed,9,7,3,0.007590317232553552,25.254237125000145,
EWG,developed,9,8,3,0.007592260556664526,23.75316141700023,
EWG,developed,9,9,3,0.007594204929688099,27.333888916999967,
EWG,developed,9,10,3,0.007596150352489452,25.842213042000367,
EWG,developed,10,2,3,0.007582554407953625,26.08257420799964,
EWG,developed,10,3,3,0.00758449354505187,23.717937583000094,
EWG,developed,10,4,3,0.007586433727610031,24.163588291999986,
EWG,developed,10,5,3,0.007588374956489686,23.411016458999256,
EWG,developed,10,6,3,0.007590317232553552,23.17615999999998,
EWG,developed,10,7,3,0.007592260556664526,21.569911417000185,
EWG,developed,10,8,3,0.007594204929688099,20.869832291999955,
EWG,developed,10,9,3,0.007596150352489452,19.535594874999333,
EWG,developed,10,10,3,0.007598096825935087,15.84445845800019,
EWJ,developed,2,2,3,0.0075670788446232234,29.734579582999686,
EWJ,developed,2,3,3,0.0075690096489513786,29.02515512500031,
EWJ,developed,2,4,4,0.011356234482582172,29.749528332999944,
EWJ,developed,2,5,5,0.018358066327809775,29.697599457999786,
EWJ,developed,2,6,3,0.014002352999849407,29.76907883399963,
EWJ,developed,2,7,4,0.020791641848312812,28.612170083999445,
EWJ,developed,2,8,3,0.00757867926669357,30.367033500000616,
EWJ,developed,2,9,4,0.017586262631320595,29.58431095800006,
EWJ,developed,2,10,4,0.017590715735557864,24.229069625000193,
EWJ,developed,3,2,4,0.0113533368200354,25.137322791999395,
EWJ,developed,3,3,3,0.010783168580003381,28.646428416000163,
EWJ,developed,3,4,4,0.011359133704223198,27.84525895800016,
EWJ,developed,3,5,3,0.007574808296955398,28.610455832999833,
EWJ,developed,3,6,3,0.013789407544493738,26.480257291999806,
EWJ,developed,3,7,4,0.01458315991996655,28.363793749999786,
EWJ,developed,3,8,4,0.017802873105399256,27.410679042000083,
EWJ,developed,3,9,3,0.007582554407953625,24.01931633300046,
EWJ,developed,3,10,4,0.017811906081609305,21.99828104199969,
EWJ,developed,4,2,2,0.0037855299863634047,24.607191582999803,
EWJ,developed,4,3,2,0.003786496461522925,26.437273375000586,
EWJ,developed,4,4,3,0.007574808296955398,26.772795333999966,
EWJ,developed,4,5,3,0.00757674326081334,25.405442834000496,
EWJ,developed,4,6,3,0.007578679266693568,26.618680999999924,
EWJ,developed,4,7,3,0.007580616315453906,25.941506791999927,
EWJ,developed,4,8,3,0.007582554407953625,25.16604550000011,
EWJ,developed,4,9,3,0.00758449354505187,22.724258917000043,
EWJ,developed,4,10,3,0.00758643372761003,23.191774124999938,
EWJ,developed,5,2,3,0.007572874374263213,25.618034375000207,
EWJ,developed,5,3,3,0.007574808296955398,26.661984834000577,
EWJ,developed,5,4,3,0.00757674326081334,25.15498908399968,
EWJ,developed,5,5,3,0.00757867926669357,26.52406320800037,
EWJ,developed,5,6,3,0.007580616315453906,25.236103083999296,
EWJ,developed,5,7,2,0.0037913366486477494,24.606790333999925,
EWJ,developed,5,8,3,0.00758449354505187,22.511037415999454,
EWJ,developed,5,9,3,0.00758643372761003,24.648111041999982,
EWJ,developed,5,10,2,0.0037942470254363563,25.042310707999604,
EWJ,developed,6,2,3,0.007574808296955398,26.982602916999895,
EWJ,developed,6,3,3,0.0075767432608135,24.862118375000136,
EWJ,developed,6,4,3,0.00757867926669357,26.12506245900022,
EWJ,developed,6,5,3,0.007580616315453906,25.457094415999563,
EWJ,developed,6,6,3,0.007582554407953625,25.68340787499983,
EWJ,developed,6,7,3,0.00758449354505187,24.345873708,
EWJ,developed,6,8,3,0.00758643372761003,25.32263020800019,
EWJ,developed,6,9,3,0.007588374956489686,24.105580124999506,
EWJ,developed,6,10,3,0.007590317232553552,25.921503667000252,
EWJ,developed,7,2,3,0.0075767432608135,24.508149332999892,
EWJ,developed,7,3,3,0.007578679266693568,25.92879316699964,
EWJ,developed,7,4,3,0.007580616315453906,25.193389125000067,
EWJ,developed,7,5,3,0.007582554407953625,25.054500792,
EWJ,developed,7,6,3,0.00758449354505187,23.301195041999563,
EWJ,developed,7,7,3,0.00758643372761003,25.20027654200021,
EWJ,developed,7,8,3,0.007588374956489686,23.524283124999783,
EWJ,developed,7,9,3,0.007590317232553552,26.957842625000012,
EWJ,developed,7,10,3,0.007592260556664526,24.867496584000037,
EWJ,developed,8,2,3,0.007578679266693568,26.655164000000696,
EWJ,developed,8,3,3,0.007580616315453906,25.642443124999772,
EWJ,developed,8,4,3,0.007582554407953625,24.775559042000168,
EWJ,developed,8,5,3,0.00758449354505187,23.303630333,
EWJ,developed,8,6,3,0.007586433727610031,25.105101832999935,
EWJ,developed,8,7,3,0.007588374956489688,22.99317929100016,
EWJ,developed,8,8,3,0.007590317232553552,24.544612790999963,
EWJ,developed,8,9,3,0.007592260556664526,24.42985420900004,
EWJ,developed,8,10,3,0.007594204929688099,25.665196250000008,
EWJ,developed,9,2,3,0.007580616315453904,25.25413374999971,
EWJ,developed,9,3,3,0.007582554407953625,25.30242129099952,
EWJ,developed,9,4,3,0.00758449354505187,23.82935116600038,
EWJ,developed,9,5,3,0.007586433727610031,26.723429957999542,
EWJ,developed,9,6,3,0.007588374956489688,25.247027208999498,
EWJ,developed,9,7,3,0.007590317232553552,24.75023266700009,
EWJ,developed,9,8,3,0.007592260556664526,24.232957458999408,
EWJ,developed,9,9,3,0.007594204929688099,25.77492954199988,
EWJ,developed,9,10,3,0.0075961503524894555,24.12019700000019,
EWJ,developed,10,2,3,0.007582554407953625,25.010822958000062,
EWJ,developed,10,3,3,0.00758449354505187,23.356779500000812,
EWJ,developed,10,4,3,0.007586433727610031,25.148400749999382,
EWJ,developed,10,5,3,0.007588374956489688,23.22112270800062,
EWJ,developed,10,6,3,0.007590317232553552,22.694237583999893,
EWJ,developed,10,7,3,0.007592260556664688,21.200707582999712,
EWJ,developed,10,8,3,0.0075942049296882615,21.639990749999924,
EWJ,developed,10,9,3,0.0075961503524894555,19.847884625000006,
EWJ,developed,10,10,3,0.007598096825935088,15.877345916000195,
EWU,developed,2,2,6,0.03417805396641139,29.19683945900033,
EWU,developed,2,3,10,0.04689847948105243,28.511910499999885,
EWU,developed,2,4,4,0.02662622496426473,29.949853000000076,
EWU,developed,2,5,8,0.04877117692538019,28.222109374999945,
EWU,developed,2,6,9,0.05441836891352065,29.207454000000325,
EWU,developed,2,7,9,0.05154741762561985,28.377662709000106,
EWU,developed,2,8,3,0.020006621547968055,29.20844662499985,
EWU,developed,2,9,10,0.05582388821041271,28.48421579199976,
EWU,developed,2,10,9,0.05562133270401581,27.33669620899991,
EWU,developed,3,2,3,0.010780435072685071,26.661466958000346,
EWU,developed,3,3,3,0.010783168580003697,28.546417082999596,
EWU,developed,3,4,4,0.0177848361759039,27.17776245899995,
EWU,developed,3,5,6,0.03478589608011607,28.201932915999805,
EWU,developed,3,6,3,0.025715651233372553,26.5790014170002,
EWU,developed,3,7,5,0.03044142398824185,28.41588745900026,
EWU,developed,3,8,7,0.041600011611930984,27.61278616699974,
EWU,developed,3,9,9,0.04883283936583494,24.362022334000358,
EWU,developed,3,10,8,0.042411993286580935,25.00080108400016,
EWU,developed,4,2,3,0.007570941491880121,27.532413333000022,
EWU,developed,4,3,3,0.007572874374263213,26.283734957999968,
EWU,developed,4,4,3,0.007574808296955398,27.652778290999777,
EWU,developed,4,5,4,0.011364936829918165,25.828784124999856,
EWU,developed,4,6,4,0.011367840736541216,27.52260033399989,
EWU,developed,4,7,3,0.007580616315453904,26.827174209000077,
EWU,developed,4,8,4,0.011373653243773488,23.97256537500016,
EWU,developed,4,9,3,0.00758449354505187,21.59395212499976,
EWU,developed,4,10,3,0.007586433727610031,25.0356822079998,
EWU,developed,5,2,3,0.007572874374263215,26.09800287500002,
EWU,developed,5,3,4,0.011362034486240704,26.845290249999834,
EWU,developed,5,4,4,0.011364936829917998,25.18286183400005,
EWU,developed,5,5,4,0.01458315991996655,26.454800292000073,
EWU,developed,5,6,4,0.014586869118155555,25.491381416999957,
EWU,developed,5,7,4,0.011373653243773488,24.74282387500034,
EWU,developed,5,8,4,0.014594293494389152,23.26497166700028,
EWU,developed,5,9,3,0.00758643372761003,24.81844304199967,
EWU,developed,5,10,3,0.007588374956489686,25.32558066599995,
EWU,developed,6,2,3,0.007574808296955398,26.247674582999935,
EWU,developed,6,3,4,0.011364936829917998,24.740199291999943,
EWU,developed,6,4,4,0.011367840736541212,26.056155082999794,
EWU,developed,6,5,4,0.011370746207397068,25.234817708000264,
EWU,developed,6,6,3,0.007582554407953625,25.11336637500017,
EWU,developed,6,7,4,0.011376561846959806,22.062269625000226,
